id,is_appartment,area,added_time,bedrooms,new_building,postcode,advertiser,foto_amount,subtype,energy_value,energy_label,province
tr18210,False,50.0,138700952,1.0,0,2910,Dewaele - Kalmthout,15.0,Woning,1693.0,f,Antwerpen
tr12502,False,140.0,138869606,3.0,0,9140,Treetops Real Estate,21.0,Woning,365.0,d,Oost-Vlaanderen
tr5590,False,98.0,115458060,2.0,0,7370,Logissim,11.0,Eengezinswoning,254.0,c,Henegouwen
tr4270,False,243.0,139765148,4.0,1,9060,Annaart Vastgoed,26.0,Woning,65.0,a,Oost-Vlaanderen
tr26465,True,114.0,139101542,3.0,1,8670,ERA Servimo (Koksijde),6.0,Appartement,65.0,a,West-Vlaanderen
tr23657,True,105.0,139451216,3.0,0,6010,Les maisons du petit nicolas,9.0,Appartement,166.0,d,Henegouwen
tr24814,True,22.0,140857612,0.0,0,1090,Perception Immobilière,4.0,Studio met slaaphoek,233.0,e,Hoofdstedelijk Gewest Brussel
tr3670,False,150.0,141463289,3.0,0,4480,COFIM s.r.l. - Real Estate,9.0,Villa,59.0,a,Luik
tr259,True,101.0,141287881,2.0,0,3000,Immo-Time,20.0,Appartement,108.0,b,Vlaams-Brabant
tr2208,True,55.0,135157329,1.0,0,1030,J&J Properties,15.0,Appartement,426.0,g,Hoofdstedelijk Gewest Brussel
tr17131,False,154.0,136619628,3.0,0,8830,Domicill Vastgoed,14.0,Woning,339.0,d,West-Vlaanderen
tr21945,False,156.17,137321051,5.0,0,3300,Empresa Consult Vastgoed,32.0,Woning,195.0,b,Vlaams-Brabant
tr8888,True,72.86,133920238,1.0,0,3050,Immo à la Carte - Kris Belemans,8.0,Appartement,166.0,d,Vlaams-Brabant
tr14156,True,105.0,73609243,2.0,1,9300,Cornelis en Partners,7.0,Appartement,65.0,a,Oost-Vlaanderen
tr16501,True,143.0,133911343,2.0,0,1180,Barnes Brussels,14.0,Appartement,120.0,c,Hoofdstedelijk Gewest Brussel
tr19595,False,139.0,142758459,3.0,0,6180,AX-immobilier,19.0,Woning,488.0,f,Henegouwen
tr20080,True,80.0,137837542,2.0,0,9820,Cornelis en Partners,10.0,Appartement,136.0,b,Oost-Vlaanderen
tr19339,False,156.0,142459137,3.0,1,8700,Dumobil,12.0,Woning,65.0,a,West-Vlaanderen
tr22507,False,262.0,132822117,6.0,0,2221,HOMIXX,33.0,Woning,643.0,f,Antwerpen
tr21114,False,217.0,134881495,2.0,0,9900,Aclea,51.0,Burgerswoning,150.0,b,Oost-Vlaanderen
tr21973,True,68.0,137518393,1.0,0,3980,Immo Tessenderlo,16.0,Appartement,138.0,b,Limburg
tr20806,True,65.0,117350831,1.0,0,8400,Yess Vastgoed,16.0,Appartement,197.0,b,West-Vlaanderen
tr24159,False,159.0,142573297,3.0,0,2300,Heylen Vastgoed - Turnhout,15.0,Eengezinswoning,335.0,d,Antwerpen
tr487,True,92.4,141984162,1.0,1,9600,Office Ronse,7.0,Appartement,65.0,a,Oost-Vlaanderen
tr10424,False,416.28,141377395,4.0,0,3212,Immo-Time,30.0,Villa,282.0,c,Vlaams-Brabant
tr361,True,28.0,88853252,0.0,0,8300,Alex Dewulf N.V.,9.0,Studio met slaaphoek,259.0,c,West-Vlaanderen
tr3745,False,154.0,131158781,3.0,0,3900,Unknown,26.0,Unknown,24.0,a,Limburg
tr20965,False,152.0,141180551,2.0,0,8790,Bordes,27.0,Woning,960.0,f,West-Vlaanderen
tr24079,True,62.0,122795860,1.0,0,2400,Cores Development,2.0,Studio met slaaphoek,186.0,b,Antwerpen
tr25987,False,124.0,92483983,4.0,1,6660,ARDENNE IMMO,66.0,Woning,67.0,a,Luxemburg
tr10623,False,251.0,140623449,3.0,0,3220,Immo Liv'it,24.0,Woning,529.0,f,Vlaams-Brabant
tr4826,True,105.4,142586309,3.0,1,1140,Latour & Petit Bxl Vente,9.0,Appartement,45.0,a,Hoofdstedelijk Gewest Brussel
tr22621,True,98.0,142117224,2.0,1,9040,Vastgoed De Vos,11.0,Appartement,65.0,a,Oost-Vlaanderen
tr19499,True,72.0,140938709,1.0,0,2100,Heylen Vastgoed - Deurne,10.0,Gelijkvloers app.,313.0,d,Antwerpen
tr15563,False,139.0,137909594,2.0,0,2620,Heylen Vastgoed - Antwerpen 't Zand,17.0,Gemengd gebruik,495.0,e,Antwerpen
